#mpa_vJun23_CHOCOPhlAnSGB_202403
#/usr/local/bin/metaphlan --input_type bowtie2out --index latest --bowtie2db metaphlan --nproc 1 --unclassified_estimation -o metaphlan_unknown_list.tsv /dev/fd/63
#77944586 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	30.80477	
k__Bacteria	2	69.19523137502325	
k__Bacteria|p__Bacteroidota	2|976	47.080546139936025	
k__Bacteria|p__Firmicutes	2|1239	19.84173259678792	
k__Bacteria|p__Proteobacteria	2|1224	1.4954404209538652	
k__Bacteria|p__Fusobacteria	2|32066	0.5038381577340943	
k__Bacteria|p__Actinobacteria	2|201174	0.26701055882993974	
k__Bacteria|p__Bacteria_unclassified	2|	0.006656581258277237	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	47.080546139936025	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	16.818869718938654	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.4954404209538652	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	1.1551244340052258	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.5749154994025183	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.5157743351462859	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.5038381577340943	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.46766981029436966	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.230537752372165	
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.1645600992560803	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.12396325700835417	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.03647280645777476	
k__Bacteria|p__Firmicutes|c__CFGB45628	2|1239|	0.007369292141439976	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.006656581258277237	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.005611733264514386	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.004905941904489149	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.0023803159593008	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.000318298064325107	
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.00027678092550009303	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	47.080546139936025	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	16.373764473595678	
